Transaction ID,Date,Account Type,Transaction Amount,Cash Flow,Net Income,Revenue,Expenditure,Profit Margin,Debt-to-Equity Ratio,Operating Expenses,Gross Profit,Transaction Volume,Processing Time (seconds),Accuracy Score,Missing Data Indicator,Normalized Transaction Amount,Transaction Outcome,Symbol,Liquidity Ratio
1,2025-01-01,Asset,1176,3184,2174,3137,1823,0.6072206626075026,2.0670035943171605,4098,2327,8,1.8946855322982905,0.9599362107665824,False,0.2187244480784955,1,PNC,2.9375
2,2025-01-02,Asset,1291,3221,3236,4694,2746,0.3556080183950445,2.3475371220849217,3872,388,5,1.7289898586609072,0.9663821498904556,False,0.2422322158626328,1,CFG,2.350564251911176
3,2025-01-03,Revenue,4966,3309,3689,3363,3102,0.678347368542885,1.9010029422454768,4780,2616,2,1.7070990655734104,0.8283065728459849,False,0.9934587080948488,1,JPM,2.2552368675475347
4,2025-01-04,Expense,4641,1952,245,4373,808,0.2210466678375761,0.9341252162851564,4948,2237,8,1.7506406931461864,0.984149111211907,False,0.9270237121831562,1,MTB,2.715698393077874
5,2025-01-05,Expense,2305,2131,2037,4956,644,0.5093228135427836,1.0611779667155603,3289,1729,3,0.8797075362116817,0.929107149433946,False,0.4495094031071137,1,BBT,6.462015503875969
6,2025-01-06,Revenue,3102,2795,1715,909,3287,0.4384481396252357,2.5464916902140544,3129,1770,2,1.2949217809591025,0.8826694763180651,False,0.6124284546197875,1,CFG,1.371654501216545
7,2025-01-07,Revenue,3847,2485,3955,4309,3011,0.7711295455668323,2.1858049460941174,3877,567,5,1.4303206299553477,0.8024911819670664,False,0.7647179067865904,1,MTB,2.138114209827357
8,2025-01-08,Asset,3061,4125,3477,612,3914,0.5510123416331512,1.0908808398143317,1875,3335,3,1.2391209240965422,0.8280760340416135,False,0.6040474243663123,1,BAC,1.9417624521072796
9,2025-01-09,Expense,1490,2044,1907,3273,1045,0.4124407711829604,2.9322883011614733,4847,621,2,1.5171367090984604,0.8080865594836038,False,0.2829108748977923,1,FITB,3.7772466539196943
10,2025-01-10,Liability,3265,3041,2905,898,3931,0.7896660687086967,2.7887179310532955,2001,2829,5,0.5582964904936504,0.8658461806717169,False,0.6457481602616517,1,WFC,1.5122075279755849
11,2025-01-11,Expense,407,1700,2616,2987,362,0.6445606590759037,2.1341940734804177,521,3648,7,0.5764278263067648,0.9101939146541896,False,0.0615290269828291,1,RF,11.889807162534435
12,2025-01-12,Revenue,4768,1946,3422,2035,534,0.4898810586971981,2.7432574282081204,3890,3378,2,0.5021510468126771,0.8486000533313479,False,0.9529844644317252,1,NUE,10.033644859813084
13,2025-01-13,Revenue,3197,3969,375,2739,272,0.7719114062206809,1.8540085874948788,4106,1070,9,0.6093338052926788,0.9222289161944762,False,0.6318479149632052,0,USB,15.912087912087912
14,2025-01-14,Revenue,3997,3825,3205,4541,2145,0.5974301652416717,2.411979006988932,2571,1689,8,1.6130941714544456,0.9419040701982396,False,0.7953802125919869,1,BAC,3.2758620689655173
15,2025-01-15,Revenue,2244,2306,772,4540,3912,0.7486093780588849,1.8607346718065776,1644,865,8,1.594167494473906,0.8751589764915043,False,0.437040065412919,1,NUE,0.7866087400971122
16,2025-01-16,Revenue,3232,1442,3692,574,3863,0.6386340912536664,2.485887267349144,2449,3677,5,1.0933584388358248,0.8957439247563581,False,0.6390024529844645,1,NUE,1.3286749482401656
17,2025-01-17,Asset,1701,2561,3961,3650,1196,0.2131833097182199,0.545350892467122,2577,699,7,1.8983617013698395,0.9597496481050688,False,0.3260425183973834,1,BAC,5.448621553884712
18,2025-01-18,Revenue,4044,3825,2580,1441,2870,0.5974039357698486,1.929621427902579,1564,3930,1,1.584761798586971,0.934580417713104,False,0.8049877350776778,1,USB,2.2309299895506793
